L06,しゃしん,写真,photograph
L06,にわ,庭,garden
L06,しゅくだい [をします],宿題,(do) homework
L06,レポート,,report
L06,ときどき,,sometimes
L06,いつも,,always / usually
L06,いっしょに,,together
L06,いいですね,,That’s good.
L06,ええ,,yes
L06,こうえん,公園,park
L06,なんですか,何ですか。,Yes?
L06,（お）はなみ [をす],お花見,cherry-blossom viewing
L06,おおさかじょうこうえん,大阪城公園,Osaka Castle Park
L06,わかりました。,分かりまた。,I see
L06,じゃ、また。,,See you [tomorrow]
L07,きります,切ります,cut / slice
L07,もらいます,,receive
L07,あげます,,give
L07,おくります,送ります,send
L07,かします,貸します,lend
L07,かります,借ります,borrow
L07,おしえます,教えます,teach
L07,ならいます,習います,learn
L07,かけます,,make
L07,「でんわをかけます。」,電話をかけます。,make [a telephone call]
L07,て,手,hand / arm
L07,はし,,chopsticks
L07,スプーン,,spoon
L07,ナイフ,,knife
L07,フォーク,,folk
L07,はさみ,,scissors
L07,ファクス （ファッス）,,fax
L07,ワープロ,,word processor
L07,パソコン,,personal computer
L07,パンチ,,punch
L07,ホッチキス,,stapler
L07,セロテープ,,Scotch tape / clear adhesive tape
L07,けしゴム,消しゴム,eraser
L07,かみ,紙,paper
L07,はな,花,flower
L07,シャツ,,shirt
L07,プレゼント,,present / gift
L07,にもつ,荷物,baggage / parcel
L07,おかね,お金,money
L07,きっぷ,切符,ticket
L07,クリスマス,,Christmas
L07,ちち,父,(my) father
L07,はは,母,(my) mother
L07,おとうさん,お父さん,(someone else’s) father
L07,おかあさん,お母さん,(someone else’s) mother
L07,もう,,already
L07,まだ,,not yet
L07,これから,,from now on / soon
L07,すてきですね。,,What a nice [∼]
L07,ごめんください。,,Excuse me./Anybody home?/May I come in? (an expression used by a visitor)
L07,いらっしゃい,,How nice of you to come. (lit. Welcome.)
L07,どうぞおあがりくい。,,Do come in.
L07,しつれいします,,Thank you./May I? (lit. I’m afraid I’ll be disturbing you.)
L07,（～は）いかがですか。,,Won’t you have [∼]?/Would you like to have [∼]? (used when offering something)
L07,いただきます。,,Thank you./I accept. (said before starting to eat or drink)
L07,りょこう(をします),,trip / tour
L07,おみやげ,お土産,souvenir / present
L07,ヨーロッパ,,Europe
L07,スペイン,,Spain
Set,Word,Kanji,Meaning
L08,しずかな,静か[な],quiet
L08,きれいな,,beautiful / clean
L08,ハンサムな,,handsome
L08,にぎやかな,,lively
L08,ゆうめいな,有名[な],famous
L08,しんせつな,親切[な],kind
L08,げんきな,元気[な],healthy / sound / cheerful
L08,ひまな,暇[な],free (time)
L08,いそがしい,忙しい,busy
L08,べんりな,便利[な],convenient
L08,すてきな,,fine / nice / wonderful
L08,おおきい,大きい,big / large
L08,ちいさい,小さい,small / little
L08,あたらしい,新しい,new
L08,ふるい,古い,old (not of age)
L08,いい,,good
L08,わるい,悪い,bad
L08,あつい,暑い、熱い,hot
L08,つめたい,冷たい,cold (referring to temperature)
L08,さむい,寒い,cold (referring to touch)
L08,むずかしい,難しい,difficult
L08,やさしい,優しい,easy
L08,きびしい,厳しい,strict
L08,やすい,安い,inexpensive
L08,たかい,高い,expensive / tall / high
L08,ひくい,低い,low
L08,おもしろい,,interesting
L08,つまらない,,boring
L08,おいしい,,delicious / tasty
L08,たのしい,楽しい,enjoyable
L08,しろい,白い,white
L08,くろい,黒い,black
L08,あかい,赤い,red
L08,あおい,青い,blue
L08,さくら,桜,cherry (blossom)
L08,やま,山,mountain
L08,まち,町,town / city
L08,たべもの,食べ物,food
L08,くるま,車,car
L08,ところ,所,car
L08,りょう,寮,dormitory
L08,べんきょう,勉強,study
L08,せいかつ,生活,life
L08,(お)しごと [をします],[お] 仕事,work / business (do one’s job / work)
L08,どう,,how
L08,どんな,,what kind of…
L08,どれ,,which one (of three or more)
L08,とても,,very
L08,あまり～ません(くない),,not so (used with negatives)
L08,そして,,and (used to connect sentence)
L08,～が、,,but
L08,おげんきですか,お元気ですか。,How are you?
L08,そうですね,,Well / let me see. (pausing)
L08,ふじさん,,Mt. Fuji / the highest mountain in Japan.
L08,びわこ,,Lake Biwa / the biggest lake in Japan
L08,シャンハイ,,Shanghai
L08,しちにんのさむらい,,“The Seven Samurai” / a classic movie by Akira Kurosawa.
L08,きんかくじ,,Kinkakuji Temple (the Golden Pavilion)
L08,にほんのせいかつになれましたか,日本の生活に慣れましたか。,Have you got used to life in Japan?
L08,もう いっぱいいかがですか,,Won’t you have another cup of [∼]?
L08,いいえ、けっこうです,,No / thank you.
L08,そろそろ、しつれいします,,It’s almost time to leave now.
L08,また いらっしゃってください,,Please come again.
L09,わかります,分かります,understand
L09,きらいな,嫌いな,dislike
L09,すきな,好きな,like
L09,あります,,have
L09,じょうずな,上手な,good at
L09,へたな,下手な,poor at
L09,りょうり,料理,dish (cooked food) / cooking
L09,のみもの,飲み物,drinks
L09,スポーツ,,sport (∼を します: play sports)
L09,やきゅう,野球,baseball (∼を します: play baseball)
L09,ダンス,,dance (∼を します: dance)
L09,おんがく,音楽,music
L09,うた,歌,song
L09,クラシック,,classic music
L09,ジャズ,,jazz
L09,コンサート,,concert
L09,カラオケ,,karaoke
L09,かぶき,歌舞伎,Kabuki (traditional Japanese musical drama)
L09,え,絵,picture / drawing
L09,じ,字,letter / characters
L09,かんじ,漢字,Chinese characters
L09,ひらがな,,Hiragana characters
L09,かたかな,,Katakana characters
L09,ローマじ,ローマ字,the Roman alphabet
L09,こまかいおかね,細かいお金,small change
L09,チケット,,ticket
L09,じかん,時間,time
L09,ようじ,用事,something to do / errand
L09,やくそく,約束,appointment / promise
L09,ごしゅじん,ご主人,(someone else’s) husband
L09,おっと / しゅじん,夫/ 主人,(my) husband
L09,おくさん,奥さん,(someone else’s) wife
L09,つま / かない,妻/ 家内,(my) wife
L09,こども,子供,child
L09,よく (わかります）,,well / much
L09,だいがく,,university
L09,たくさん,大学,many / much
L09,すこし,少し,a little / a few
L09,ぜんぜん～ない,全然～ない,not at all (used with negatives)
L09,だいたい,,mostly / roughly
L09,はやく,早く、速く,early / quickly / fast
L09,～から,,because ～
L09,どうして,,why
L09,ざんねんです[ね]。,,I’m sorry [to hear that]./That’s a pity.
L09,もしもし,,hello (used on the phone)
L09,いっしょに～いかがですか。,一緒に～いかがですか。,Won’t you join me (us)?
L09,(～は) ちょっと…..,,[～] is a bit difficult. (a euphemism used when declining an invitation)
L09,だめですか。,,So you cannot (come)?
L09,またこんどおねがいします,また今度お願いします。,Please ask me again some other time. (used when refusing an invitation indirectly / considering someone’s feelings)
L10,います,,exist / be ( referring to animate things )
L10,あります,,exist / be ( referring to inanimate things )
L10,いろいろ「な」,,various
L10,おとこのひと,男の人,Man
L10,おんなのひと,女の人,Woman
L10,おとこのこ,男の子,Boy
L10,おんなのこ,女の子,Girl
L10,いぬ,犬,Dog
L10,ねこ,猫,Cat
L10,き,木,Tree
L10,もの,物,Thing
L10,フイルム,,Film
L10,でんち,電池,Battery
L10,はこ,箱,Box
L10,スイッチ,,Switch
L10,れいぞうこ,冷蔵庫,Refrigerator
L10,テーブル,,Table
L10,ベッド,,Bed
L10,たな,棚,Shelf
L10,ドア,,Door
L10,まど,窓,Window
L10,ポスト,,Mailbox / postbox
L10,ビル,,Building
L10,こうえん,公園,Park
L10,きっさてん,喫茶店,Coffee shop
L10,ほんや,本屋,Bookstore
L10,～や,～屋,~Store
L10,のりば,乗り場,A Fixed place to catch taxis / trains.etc
L10,けん,県,Prefecture
L10,うえ,上,On / above / over
L10,した,下,Under / Below / Beneath
L10,まえ,前,Front / Before
L10,うしろ,,Back / behind
L10,みぎ,右,Right[ side ]
L10,ひだり,左,Left [ side ]
L10,なか,中,In / inside
L10,そと,外,Outside
L10,となり,隣,Next / next door
L10,ちかく,近く,Near / vicinity
L10,あいだ,間,Between / among
L10,～や～「など」,,~;~ and so on
L10,いちばん～,,the most ~ ( いちばん うえ: the top )
L10,ーだんめ,ー段目,The -th shelf (だん is the counter for shelves)
L10,「どうも」すみません。,,Thank you
L10,チリソース,,Chilli sauce
L10,奥,,The back
L10,スパイス コーナー,,Spice corner
L10,東京ディズニーランド,,Tokyo Disneyland
L10,ユニューや ストア,,Fictitious supermarket
L11,やすみます,休みます,Take a day off
L11,かかります,かかります,Take ( referring to time or money)
L11,[にほんにいます],日本にいます,Stay / be ( in Japan)
L11,います,います,Have
L11,ひとつ,一つ,One ( Used when counting things)
L11,ふたつ,二つ,two
L11,みっつ,三つ,three
L11,よっつ,四つ,four
L11,いつつ,五つ,five
L11,むっつ,六つ,six
L11,ななつ,七つ,seven
L11,やっつ,八つ,eight
L11,ここのつ,九つ,nine
L11,とお,とお,ten
L11,いくつ,いくつ,How many
L11,ひとり,一人,One person
L11,ふたり,二人,two person
L11,～にん,～人,～people
L11,～だい,～だい,～Counter for machines  / cars / etc.)
L11,～まい,～まい,～Counters for paper / stamps / etc.)
L11,～かい,～かい,～Times
L11,りんご,りんご,Apple
L11,みかん,みかん,Mandarin Orange
L11,サンドイッチ,,sandwich
L11,カレー(ライス),,Curry ( and rice )
L11,アイスクリーム,,Ice cream
L11,きって,切手,Postage Stamp
L11,はがき,葉書,Post card
L11,ふうとう,封筒,Envelope
L11,そくたつ,速達,Special delivery
L11,かきとめ,書留,Registered mail
L11,エアメール,,Airmail
L11,ふなびん,船便,Sea mail
L11,りょうしん,両親,Parents
L11,きょうだい,兄弟,Brothers and sisters
L11,あに,兄,(my) elder brother
L11,おにいさん,お兄さん,(someone else’s) elder brother
L11,あね,姉,(my) elder sister
L11,おねえさん,お姉さん,(someone else’s) elder sister
L11,おとうと,弟,(my) younger brother
L11,おとうとさん,弟さん,(someone else’s) younger brother
L11,いもうと,妹,(my) younger sister
L11,いもうとさん,妹さん,(someone else’s) younger sister
L11,がいこく,外国,Foreign country
L11,～じかん,<～時間,～Hours
L11,～しゅうかん,<～週間>,～Weeks
L11,～かげつ,<～ヶ月>,～Months
L11,～ねん,<～年>,～Years
L11,～ぐらい,,About～
L11,どのくらい,,How long
L11,ぜんぶで,全部で,In total
L11,みんな,みんな,All / everything
L11,～だけ,,～Only
L11,いらっしゃいませ,,Welcome/ May I help you?( A greeting to a customer or a guest entering a shop / etc)
L11,いい (お)てんきですね,いいお天気ですね,Nice weather / isn’t it?
L11,おでかけですか,お出かけですか,Are you going out?
L11,ちょっと ～まで,,I’m just going to~
L11,いってらっしゃい,,So long. ( Go and come back)
L11,いって いらっしゃい,,So long. ( I’m going and coming back)
L11,いって まいります,,So long. ( I’m going and coming back)
L11,いってきます,,I’m going
L11,それから,,And / further more
L11,オーストラリア,,Australia
L12,かんたん,簡単,Simple
L12,ちかい,近い,Near
L12,とおい,遠い,Far
L12,はやい,早い,Quick / early
L12,おそい,遅い,Slow / late
L12,おおい,多い,Many( people)
L12,すくない,少ない,Few ( people)
L12,あたたかい,暖かい,Warm
L12,すずしい,涼しい,Cool
L12,あまい,甘い,Sweet
L12,からい,辛い,Spicy
L12,おもい,重い,Heavy
L12,かるい,軽い,Light
L12,いい,,Prefer
L12,きせつ,季節,Season
L12,はる,春,Spring
L12,なつ,夏,Summer
L12,あき,秋,Autumn
L12,ふゆ,冬,Winter
L12,てんき,天気,Weather
L12,あめ,雨,Rain
L12,ゆき,雪,Snow
L12,くもり,曇,Cloudy
L12,ホテル,,Hotel
L12,くうこう,空港,Airport
L12,うみ,海,Sea
L12,せかい,世界,World
L12,パーテイー,,Party
L12,まつり,祭り,Festival
L12,しけん,試験,Examination
L12,すきやき,,Sukiyaki
L12,さしみ,,Sashimi
L12,すし,,sushi
L12,てんぷら,天ぷら,Tempura
L12,いけばな,生け花,Flower arrangement
L12,もみじ,,Red leaves
L12,どちら,,Which one ( between two things)
L12,どちらも,,Both
L12,ずっと,,By far
L12,はじめて,,For the first time
L13,あそびます,遊びます,Enjoy oneself / play
L13,およぎます,泳ぎます,Swimming
L13,むかえます,迎えます,Go to meet
L13,つかれます,疲れます,Get tired
L13,だします,出します,Send
L13,はいります,入ります,Enter
L13,でます,出ます,Go out
L13,けっこんします,結婚します,Get married
L13,かいものします,買い物します,Do shopping
L13,しょくじします,食事します,Have a meal
L13,さんぽします,散歩します,Take a walk
L13,たいへん,大変,Hard / Tough
L13,ほしい,欲しい,Want
L13,さびしい,寂しい,Lonely
L13,ひろい,広い,Wide / spacious
L13,せまい,狭い,Narrow
L13,しやくしょ,市役所,City Hall
L13,プール,,Swimming pool
L13,かわ,川,River
L13,けいざい,経済,Economy
L13,びじゅつ,美術,Fine arts
L13,つり,釣り,Fishing
L13,スキー,,Skiing
L13,かいぎ,会議,Meeting / Conference
L13,とうろく,登録,Registration
L13,しゅうまつ,週末,Weekend
L13,なにか,何か,Something
L13,どこか,,Somewhere
L13,おなかがすきました,お腹がすきました,I’m hungry
L13,おなかがいっぱいです,お腹がいっぱいです,I’m full
L13,のどがかわきました,喉が渇きました,I’m thirsty
L13,そうですね,,I agree with you
L13,そう しましょう,,Let’s do that( used when agreeing with someone’s suggestion)
L13,ていしょく,定食,Set meal
L13,ぎゅうどん,牛丼,Bowl of rice topped with beef
L13,べつべつに,別々に,Separately
L14,つけます,付けます,Turn on
L14,けします,消します,Turn off
L14,あけます,開けます,Open
L14,しめます,閉めます,Close / shut
L14,いそぎます,急ぎます,Hurry
L14,まちます,待ちます,Wait
L14,とめます,止めます,Stop / park
L14,まがります,曲がります,Turn
L14,もちます,持ちます,Hold
L14,とります,取ります,Take / pass
L14,てつだいます,手伝います,Help
L14,よびます,呼びます,Call
L14,はなします,話します,Speak / talk
L14,みせます,見せます,Show
L14,おしえます,教えます,Tell
L14,はじめます,始めます,Start / begin
L14,ふります,降ります,Rain
L14,コピーします,,Copy
L14,エアコン,,Air conditioner
L14,パスポート,,Passport
L14,なまえ,名前,Name
L14,じゅうしょ,住所,Address
L14,ちず,地図,Map
L14,しお,栞,Salt
L14,さとう,砂糖,Sugar
L14,よみかた,読み方,How to read / way of reading
L14,ゆっくり,,Slowly / leisurely
L14,すぐ,,Immediately
L14,また,,Again
L14,あとで,後で,Later
L14,もうすこし,もう少し,~more / another~
L15,たちます,立ちます,stand up
L15,すわります,座ります,sit down
L15,つかいます,使います,use
L15,おきます,起きます,put
L15,つくります,作ります,make / produce
L15,うります,売ります,sell
L15,しります,知ります,get to know
L15,すみます,住みます,be going to live
L15,けんきゅうします,研究します,do research
L15,しっています,知っています,know
L15,すんでいます,住んでいます,live [in somewhere]
L15,しりょう,資料,materials / data
L15,じこくひょう,時刻表,timetable
L15,ふく,服,clothes
L15,せいひん,製品,products
L15,ソフト,,software
L15,せんもん,専門,speciality / a field of study
L15,はいしゃ,歯医者,dentist / dentist’s
L15,とこや,床屋,barber / barber’s
L15,プレイガイド,,(theatre) ticket agency
L15,どくしん,独身,single / unmarried
L15,とくに,特に,especially
L15,おもいだします,思い出します,remember / recollect
L15,ごかぞく,ご家族,your family
L15,いらっしゃいます,,be (honorific equivalent of います)
L15,こうこう,高校,senior high school
L15,にっぽんばし,日本橋,the name of a shopping district in Osaka
L16,のります,乗ります,Get on
L16,おります,降ります,Get off
L16,のりかえます,乗り換えます,Change
L16,あびます,浴びます,Take ( a shower )
L16,いれます,入れます,Insert / put in
L16,だします,出します,Take out / withdraw
L16,はいります,入ります,Enter [University]
L16,でます,出ます,Graduate
L16,やめます,,Give up / Quit
L16,おします,押します,Push / press
L16,わかい,若い,Young
L16,ながい,長い,Long
L16,みじかい,短い,Short
L16,あかるい,明るい,Bright / light
L16,くらい,暗い,Dark
L16,せがたかい,背が高い,Tall
L16,あたまがいい,頭がいい,Smart / clever
L16,からだ,体,Body
L16,あたま,頭,Head
L16,かみ,髪,Hair
L16,かお,顔,Face
L16,め,目,Eye
L16,みみ,耳,Ear
L16,くち,口,Mouth
L16,は,歯,Tooth
L16,おなか,お腹,Stomach
L16,あし,足,Foot / leg
L16,サービス,,Service
L16,ジョギング,,Jogging
L16,シャワー,,Shower
L16,みどり,緑,Green
L16,おてら,お寺,Buddhist shrine
L16,じんじゃ,神社,Shinto shrine
L16,りゅうがくせい,留学生,Foreign student
L16,いちばん,一番,Number one
L16,どうやって,,How / in what way
L16,どの~,,Which~(used for three or more)
L16,おひきだしですか,お引き出しですか,Are you making a withdrawal?
L16,まず,,First of all
L16,キャッシュカード,,Cash dispensing card
L16,あんしょうばんごう,暗証番号,personal identification number / PIN
L16,つぎに,,Next
L16,きんがく,金閣,amount of money
L16,かくにん,確認,Confirmation
L16,ボタン,,Button
L17,おぼえます,覚えます,memorize
L17,わすれます,忘れます,forget
L17,なくします,,lose
L17,だします[レポートを～],出します,hand in (a report)
L17,はらいます,払います,pay
L17,かえします,返します,give back / return
L17,でかけます,出かけます,go out
L17,ぬぎます,脱ぎます,take off (clothes / shoes / etc.)
L17,もっていきます,持って行きます,take (something)
L17,もってきます,持って来ます,bring (something)
L17,しんぱいします,心配します,worry
L17,ざんぎょうします,残業します,work overtime
L17,しゅっちょうします,出張します,go on a business trip
L17,のみます[くすりを～],飲みます[薬を～],take (medicine)
L17,はいります[おふろに～],入ります,take (a bath)
